Conta;Data;Descrição;Valor
1000-1;04/05/2025 12:11:31;Depósito;200.0
1002-2;04/05/2025 12:16:16;Depósito;250.0
1000-1;04/05/2025 12:24:35;Depósito;300.0
1000-1;04/05/2025 12:24:35;Depósito;300.0
1000-1;04/05/2025 12:24:39;Saque;100.0
1000-1;04/05/2025 12:30:31;Depósito;100.0
1002-2;04/05/2025 12:57:48;Saque;50.0
1002-2;04/05/2025 12:57:48;Saque;50.0
1002-2;04/05/2025 12:57:52;Depósito;1500.0
1002-2;04/05/2025 12:57:48;Saque;50.0
1002-2;04/05/2025 12:57:52;Depósito;1500.0
1002-2;04/05/2025 12:58:09;Saque;50.0
1001-0;04/05/2025 12:59:27;Saque;20.0
1001-0;04/05/2025 12:59:27;Saque;20.0
1001-0;04/05/2025 13:01:20;Depósito;200.0
